no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,loan_status,total_asset_value
4,0,1,9800000,27000000,2,395,1,54400000
3,0,1,7700000,16200000,6,380,1,55500000
1,0,0,7900000,27100000,10,803,0,58600000
4,0,0,3500000,8900000,20,809,0,25500000
4,1,0,2400000,6600000,2,722,0,18000000
5,0,0,9900000,35700000,10,392,1,64400000
0,0,0,3900000,14500000,8,545,1,22600000
2,1,1,7300000,28500000,10,799,0,44700000
0,0,1,6400000,21900000,12,727,0,54800000
4,0,0,7100000,19800000,18,530,1,38500000
2,1,0,8800000,19000000,14,637,0,60800000
5,0,0,7400000,21000000,4,561,0,55400000
2,1,0,4400000,12000000,20,421,1,31100000
3,0,1,8600000,30300000,14,459,1,49000000
3,1,0,6900000,26000000,14,828,0,41100000
4,0,0,9600000,27500000,20,679,0,75000000
2,0,1,8100000,25700000,8,455,1,63100000
0,1,0,2600000,9400000,18,879,0,11600000
3,0,1,9300000,26100000,14,636,0,66900000
2,1,1,2100000,5600000,16,426,1,9000000
4,1,1,9000000,21500000,14,508,1,71300000
3,1,1,7000000,19200000,4,768,0,49200000
3,1,0,2200000,6400000,20,667,0,21400000
5,0,1,7500000,28200000,2,440,0,44400000
1,0,1,8300000,16800000,2,366,1,60400000
2,1,0,300000,600000,2,383,1,2400000
0,1,1,300000,800000,4,603,0,1800000
3,0,0,3900000,14900000,4,728,0,29100000
0,1,0,6600000,20300000,6,549,1,44600000
0,0,0,4100000,10700000,8,855,0,26500000
5,0,1,1800000,5300000,12,461,1,11500000
3,1,1,7000000,16100000,16,379,1,40200000
2,1,1,5100000,13700000,6,559,0,35400000
1,1,1,300000,600000,8,816,0,2200000
4,1,1,4300000,11400000,2,560,0,26100000
0,0,1,3200000,12000000,14,645,0,22100000
4,1,1,4200000,11500000,6,551,0,34500000
0,1,1,9600000,22900000,8,515,1,60100000
4,0,0,1300000,3600000,10,657,0,9100000
3,1,0,2400000,9300000,2,682,0,14200000
0,0,0,600000,1600000,10,588,0,3100000
5,0,1,9600000,38000000,10,359,1,63300000
0,0,0,400000,1200000,4,766,0,2700000
4,0,0,5900000,19900000,14,469,1,46300000
0,0,1,700000,1400000,10,618,0,3700000
0,1,1,8600000,17700000,20,711,0,60200000
0,0,1,9000000,34000000,4,549,0,43300000
3,0,1,5100000,20400000,6,754,0,23700000
4,1,1,500000,1500000,6,461,1,3700000
2,0,0,1600000,3800000,10,837,0,12000000
0,0,1,9800000,23900000,14,459,1,42700000
4,0,0,7800000,29700000,20,614,0,55800000
4,1,0,6500000,24000000,16,373,1,33000000
5,0,1,7500000,26500000,12,512,1,49100000
4,0,1,8900000,23400000,18,781,0,50300000
4,0,1,1800000,5800000,14,305,1,9500000
1,1,1,7600000,27800000,6,447,1,33000000
4,0,1,1200000,4600000,6,757,0,8400000
5,0,1,2700000,10400000,2,723,0,15200000
1,1,1,4600000,10900000,12,463,1,19900000
2,1,0,6900000,18700000,10,699,0,44900000
4,0,1,8400000,25200000,2,308,0,55600000
0,0,0,300000,500000,18,702,0,2000000
2,1,1,9500000,37500000,4,456,0,74000000
3,0,1,1900000,5900000,8,651,0,10500000
3,1,0,4200000,14500000,20,840,0,23900000
4,0,1,2200000,7900000,18,848,0,16900000
5,0,1,7100000,19700000,4,727,0,50000000
4,0,0,3500000,11600000,10,335,1,24100000
5,1,0,400000,800000,18,304,1,3200000
2,0,1,8800000,34400000,2,712,0,58200000
0,1,0,1800000,6600000,10,737,0,14500000
1,0,1,7600000,29300000,14,690,0,57000000
1,0,1,1000000,3200000,4,888,0,7000000
2,1,1,8200000,27200000,10,839,0,47100000
5,1,1,3600000,12400000,8,333,1,24500000
5,0,0,9400000,23700000,18,862,0,53000000
5,1,0,2600000,9100000,4,309,0,17100000
5,1,0,9500000,30700000,10,823,0,63400000
0,0,1,3500000,11700000,14,649,0,19600000
5,1,1,9800000,35700000,10,726,0,71500000
4,0,0,800000,3100000,18,712,0,4100000
0,1,0,9700000,37300000,20,701,0,62900000
3,0,0,6200000,21300000,12,655,0,42300000
1,1,1,4400000,16600000,18,385,1,24600000
2,0,0,1800000,3800000,4,777,0,13800000
3,0,0,1700000,5300000,14,696,0,6300000
3,0,0,3900000,14100000,16,496,1,21300000
2,0,1,2200000,7900000,6,659,0,16200000
3,1,1,6300000,17700000,2,542,1,39400000
2,1,0,2200000,8700000,18,729,0,16100000
1,0,0,8100000,28400000,6,744,0,60300000
4,1,0,6800000,17000000,2,749,0,58300000
0,0,0,4700000,14800000,20,755,0,36400000
3,0,1,2200000,5300000,2,506,1,11900000
3,0,1,3500000,13000000,6,391,1,27200000
1,1,1,3500000,11600000,10,898,0,19300000
5,1,0,500000,1500000,12,527,1,2000000
5,1,0,9900000,35800000,20,470,1,81700000
1,0,0,8400000,25000000,12,694,0,50900000
1,0,0,5000000,18800000,14,325,1,35900000
4,1,1,5500000,13400000,10,880,0,23800000
5,0,1,3000000,11900000,14,459,1,26700000
3,1,1,9400000,21400000,10,323,1,61500000
4,0,0,7600000,29000000,8,739,0,61100000
0,1,1,5500000,16300000,10,724,0,31500000
1,0,0,3100000,7400000,18,487,1,23300000
3,0,0,7700000,27700000,4,439,0,54700000
2,0,0,9800000,25400000,2,655,0,53700000
3,1,0,3200000,9200000,14,443,1,16100000
2,0,0,700000,2600000,20,489,1,3600000
4,1,1,3100000,8600000,14,427,1,20500000
0,0,1,4500000,10500000,20,417,1,27200000
5,1,1,8900000,24800000,18,842,0,49300000
3,1,0,5900000,23200000,2,307,0,52900000
2,1,0,1500000,4500000,18,428,1,12400000
4,1,1,6300000,15200000,16,415,1,45900000
3,1,1,6500000,18200000,20,405,1,41200000
4,0,0,8000000,31500000,18,683,0,57900000
1,0,1,3300000,10600000,14,742,0,13800000
4,1,0,3900000,10000000,10,530,1,25300000
3,0,0,1600000,3500000,10,844,0,13500000
2,1,1,3900000,13900000,18,715,0,22600000
3,0,1,8000000,26300000,12,476,1,53700000
2,0,0,2200000,4800000,6,721,0,11000000
4,1,0,7600000,30300000,12,339,1,56400000
5,1,1,2700000,6800000,6,461,1,16400000
2,0,1,6300000,23200000,12,556,0,44800000
3,1,0,7700000,18700000,8,483,1,55500000
2,0,0,4500000,17200000,18,406,1,27500000
2,0,1,9400000,24800000,14,513,1,87100000
0,1,0,4600000,12600000,16,574,0,28300000
0,0,1,5200000,15700000,6,692,0,29100000
5,0,1,8000000,29800000,18,867,0,63800000
1,1,1,9900000,38500000,2,875,0,49200000
4,0,1,8500000,18600000,10,597,0,52400000
2,0,1,4900000,12000000,20,513,1,45400000
3,0,1,7000000,24200000,2,354,0,49000000
2,1,0,9600000,25900000,18,647,0,68800000
1,0,0,9700000,23700000,6,875,0,74400000
1,0,0,6200000,14300000,20,819,0,40200000
4,1,1,4100000,9600000,10,521,1,38000000
0,0,1,6100000,19900000,20,761,0,28000000
0,0,0,700000,1900000,18,572,0,4700000
3,0,0,6400000,24100000,12,571,0,51200000
4,0,1,3800000,7800000,20,891,0,29200000
1,1,0,4900000,14800000,12,895,0,40300000
2,0,0,2100000,6600000,20,580,0,16200000
2,0,0,6200000,23400000,8,605,0,51800000
4,1,0,1600000,5100000,8,705,0,10200000
1,1,1,1300000,5000000,20,423,1,7200000
5,1,1,7300000,22500000,2,846,0,40500000
2,1,0,2100000,5000000,4,542,1,11000000
5,1,0,600000,2400000,18,631,0,3900000
4,0,0,7000000,24500000,18,318,1,25900000
1,1,1,3000000,6800000,10,541,1,25100000
1,0,0,900000,2900000,20,782,0,5800000
2,0,0,9600000,35000000,2,888,0,62800000
0,0,0,1500000,3600000,14,747,0,5800000
0,0,1,5000000,18900000,6,641,0,39100000
3,0,1,500000,1700000,4,640,0,2600000
4,1,0,7600000,28100000,12,324,1,52000000
4,0,0,5500000,21200000,20,359,1,34500000
0,1,1,6600000,23300000,12,338,1,31400000
0,0,0,1400000,3200000,14,384,1,9300000
5,1,1,8800000,26600000,16,545,1,73700000
5,1,0,6200000,24200000,18,610,0,45900000
2,0,1,8300000,27900000,18,840,0,44400000
3,1,0,2400000,8100000,6,630,0,19400000
1,0,0,9100000,31200000,4,508,0,63400000
0,1,1,9500000,34900000,4,535,0,54500000
1,0,0,1200000,3400000,20,717,0,8000000
2,0,1,7700000,19300000,8,735,0,37300000
5,0,1,7800000,22000000,20,528,1,44200000
0,0,1,9400000,20000000,4,350,1,46600000
0,1,0,1700000,5700000,12,422,1,11900000
4,1,0,4200000,15500000,18,794,0,23600000
2,0,0,2400000,7700000,6,719,0,16000000
3,1,1,2700000,6100000,14,630,0,19600000
3,1,1,600000,1800000,4,843,0,3800000
2,0,0,4600000,15600000,2,764,0,31000000
3,0,0,7200000,17700000,4,662,0,46200000
0,1,0,4700000,15500000,16,311,1,33200000
4,1,0,4300000,10100000,2,606,0,26100000
5,0,0,4700000,10200000,16,874,0,36600000
4,1,1,8700000,30000000,4,370,0,79900000
1,0,0,7000000,20500000,10,414,1,53000000
2,1,0,600000,1100000,10,800,0,4600000
1,1,0,6800000,16900000,12,779,0,51800000
1,1,0,6400000,14100000,20,553,0,39800000
4,1,0,7600000,29900000,18,445,1,42800000
3,1,0,9000000,21400000,8,496,1,68000000
0,0,1,2400000,5900000,10,650,0,16400000
3,1,0,6800000,17900000,6,783,0,58900000
5,0,1,3500000,13500000,10,535,1,24400000
4,0,1,8900000,34000000,20,415,1,63000000
0,1,0,6000000,15300000,8,709,0,30500000
3,1,0,700000,2500000,14,819,0,5600000
0,1,1,6800000,17300000,18,841,0,43800000
4,1,1,5300000,10700000,12,700,0,41100000
1,0,1,1400000,4200000,4,881,0,10400000
2,0,1,1400000,4600000,4,804,0,10000000
4,1,0,9200000,21700000,6,653,0,65300000
1,0,1,7900000,29200000,2,663,0,70400000
0,1,0,4500000,17500000,10,495,1,29700000
1,1,0,3800000,9800000,8,335,1,21200000
5,0,1,1500000,4900000,6,618,0,8500000
3,1,0,1200000,2400000,12,480,1,7900000
4,1,0,1700000,4900000,18,843,0,15000000
4,0,0,5200000,14100000,16,483,1,34500000
1,1,0,1600000,5100000,12,548,1,9300000
4,0,1,6600000,16000000,16,379,1,48300000
5,1,1,9400000,26600000,20,771,0,71400000
4,0,1,300000,500000,2,353,1,2300000
5,1,0,4600000,11500000,16,668,0,25300000
3,1,1,6100000,21300000,2,387,0,30600000
0,1,1,1500000,4100000,12,789,0,12300000
0,1,0,8700000,33600000,14,751,0,50600000
3,1,0,7000000,21600000,12,739,0,42100000
4,0,0,4700000,13100000,14,492,1,26000000
4,1,1,7600000,23800000,16,896,0,30000000
1,1,1,9200000,24500000,4,545,1,59600000
5,1,0,9400000,36800000,20,891,0,58700000
0,0,0,4800000,15100000,6,848,0,23900000
3,1,1,600000,2400000,12,884,0,3400000
3,0,1,4900000,14300000,14,439,1,38400000
3,0,1,3300000,8500000,12,586,0,24300000
3,0,1,9100000,18800000,20,308,1,50000000
5,0,0,6100000,23500000,16,300,1,28600000
3,0,1,8400000,19600000,2,741,0,48700000
4,0,0,7900000,31400000,8,698,0,61700000
2,1,1,6100000,22300000,10,733,0,44600000
3,1,1,2000000,4200000,16,571,0,12700000
3,0,1,9900000,29900000,20,490,1,54100000
2,1,0,9500000,25400000,16,451,1,67100000
4,0,1,1900000,6800000,6,559,0,13200000
4,0,1,6900000,21400000,10,577,0,35900000
2,1,1,1500000,5000000,4,613,0,13000000
4,1,0,1900000,3800000,20,785,0,9200000
0,0,1,2300000,6000000,8,690,0,16400000
2,1,0,7800000,17100000,14,351,1,52600000
4,1,0,400000,1000000,10,447,1,1500000
0,0,1,9400000,19200000,20,708,0,74100000
2,0,0,9100000,21700000,12,549,1,83400000
1,0,1,9000000,18800000,8,797,0,43900000
4,1,0,7100000,14300000,14,537,1,48400000
3,0,0,800000,2500000,12,828,0,3900000
0,0,1,4500000,9600000,14,471,1,25500000
5,0,0,8500000,25400000,4,336,1,49300000
3,1,1,2500000,9800000,16,424,1,15000000
2,0,0,1500000,3300000,18,440,1,7900000
0,1,0,6200000,17300000,8,583,0,24500000
1,1,1,1300000,2900000,6,480,1,7500000
5,1,0,6600000,25800000,10,670,0,40900000
0,0,1,5300000,13700000,6,329,1,30400000
5,1,0,1400000,3000000,6,754,0,12900000
2,1,1,2900000,7800000,18,588,0,16300000
3,1,0,6500000,16500000,4,551,0,32200000
3,0,0,8300000,18900000,4,316,1,59400000
2,1,1,8900000,32200000,12,382,1,37200000
3,0,0,5300000,15000000,6,717,0,33500000
0,0,0,2800000,7300000,6,676,0,14600000
1,1,0,8000000,27800000,6,667,0,51000000
3,1,0,3900000,10500000,20,821,0,22800000
0,0,0,6200000,20100000,20,345,1,36700000
3,1,1,5900000,19200000,10,442,1,33000000
1,0,1,6000000,23300000,12,672,0,39300000
3,1,1,9100000,29300000,2,508,0,67600000
5,0,1,3400000,12300000,10,615,0,23500000
1,0,1,1800000,4400000,8,689,0,11100000
1,0,0,300000,1200000,18,747,1,1000000
1,0,1,9000000,22800000,10,412,1,52300000
1,0,0,6400000,16900000,2,703,0,36900000
5,1,0,5800000,22200000,16,884,0,34000000
5,0,1,2600000,8600000,18,651,0,11500000
4,1,0,6600000,17300000,14,793,0,39500000
2,1,0,6100000,21800000,4,407,0,35900000
2,1,0,4100000,11100000,8,390,1,17400000
3,1,1,300000,1000000,12,469,1,2000000
4,0,0,4700000,10400000,6,373,1,35100000
4,0,1,1500000,5800000,2,304,0,8700000
5,1,0,2700000,8300000,8,833,0,16000000
2,0,0,6900000,20900000,2,302,0,65500000
0,0,0,7600000,28700000,6,397,1,52600000
1,0,0,4100000,10000000,6,891,0,21400000
3,1,0,4100000,12200000,2,457,1,20200000
4,1,0,1600000,3200000,16,657,0,7200000
2,1,1,400000,1400000,2,480,0,2700000
5,0,1,4400000,17300000,20,840,0,23900000
2,1,1,3800000,8000000,12,866,0,16900000
0,1,0,4300000,17000000,8,619,0,31700000
1,0,1,9000000,33500000,2,748,0,54900000
3,1,1,9500000,25500000,12,881,0,71600000
2,0,1,6900000,13900000,8,829,0,49400000
3,1,0,4300000,11100000,6,312,1,22000000
3,1,0,6600000,21400000,10,467,1,46700000
1,0,1,5200000,14300000,18,650,0,28900000
3,0,1,400000,1100000,6,711,0,1900000
4,1,0,1300000,4100000,18,886,0,7700000
5,1,0,9700000,28400000,4,494,1,51700000
2,0,1,5400000,10900000,14,741,0,33300000
4,1,0,1200000,3300000,12,876,0,5300000
0,0,1,7000000,26400000,14,610,0,33500000
5,0,0,7600000,26000000,6,778,0,51700000
5,0,1,700000,1800000,14,571,0,2900000
3,0,1,7500000,25100000,18,554,0,53600000
0,1,1,2300000,6200000,8,712,0,18800000
5,1,1,5600000,11500000,4,695,0,36100000
0,1,1,5400000,10900000,20,366,1,30000000
1,1,1,1800000,5500000,10,426,1,14000000
0,1,0,2900000,6900000,10,320,1,14800000
3,1,1,1400000,4600000,8,543,1,7400000
2,0,0,2800000,11000000,16,525,1,18200000
0,1,1,3300000,13100000,12,812,0,21500000
0,1,0,7000000,25300000,14,697,0,46500000
1,1,0,3900000,15100000,12,527,1,30600000
1,1,0,5700000,17200000,4,512,0,35700000
0,0,0,4100000,9200000,4,671,0,25000000
1,0,1,2200000,8700000,20,539,1,15800000
5,1,0,2200000,7200000,10,532,1,12100000
3,1,1,2500000,7700000,16,485,1,14400000
0,1,1,900000,2100000,6,521,1,4600000
1,1,0,2900000,7400000,10,874,0,15000000
2,1,0,9800000,22900000,10,788,0,52800000
2,1,0,5200000,14800000,12,659,0,38900000
1,0,1,8600000,19600000,16,498,1,44100000
2,0,1,4800000,13200000,20,310,1,33500000
0,0,0,2000000,4700000,6,785,0,13100000
0,0,0,3600000,8700000,10,309,1,19200000
3,1,1,5300000,19600000,2,433,0,38400000
1,1,1,400000,1300000,18,801,0,2200000
3,0,1,6500000,22400000,6,488,1,57000000
0,1,1,2300000,6000000,16,756,0,13700000
3,0,0,1000000,2800000,4,757,0,7300000
5,1,0,3200000,10100000,6,828,0,26200000
3,0,1,3400000,7200000,12,733,0,17800000
0,1,0,9600000,38200000,8,421,1,63100000
3,1,0,5300000,20300000,4,872,0,37600000
3,0,0,4700000,17400000,10,393,1,41700000
3,0,0,9700000,37800000,12,700,0,57200000
5,0,0,8800000,21600000,18,613,0,65900000
5,0,0,5900000,13400000,6,455,1,42900000
4,0,1,2400000,7100000,16,871,0,19300000
4,0,1,7900000,21500000,16,497,1,38200000
0,0,0,1400000,2700000,2,649,0,10200000
0,0,1,3500000,10000000,14,709,0,21300000
4,0,0,3400000,13500000,12,705,0,24300000
2,0,0,6100000,23600000,2,476,0,33800000
2,1,1,3000000,7100000,4,819,0,18300000
5,1,1,3400000,9400000,16,535,1,24800000
0,0,1,400000,1200000,14,889,0,2200000
0,0,0,5900000,11800000,12,468,1,42800000
5,0,1,400000,800000,2,759,0,2200000
3,0,1,9000000,33600000,2,426,0,70400000
0,0,1,8800000,23600000,8,712,0,42100000
4,0,1,2000000,4700000,2,615,0,10300000
2,0,0,4700000,14000000,12,784,0,37800000
4,1,0,2700000,6100000,16,677,0,13700000
1,1,0,2600000,7900000,12,306,1,15300000
1,1,1,9000000,25400000,16,655,0,67100000
4,1,0,5100000,19400000,8,755,0,22700000
2,0,0,6600000,25800000,18,598,0,29200000
2,0,0,4400000,9800000,18,712,0,20800000
4,1,1,1500000,4600000,6,524,1,12100000
1,1,0,6200000,23100000,16,838,0,41000000
4,0,1,900000,2900000,6,560,0,6400000
3,1,0,7700000,26400000,12,759,0,39000000
2,0,1,600000,2400000,6,454,1,3300000
4,1,0,4300000,16500000,4,539,0,28100000
2,1,1,8200000,27800000,16,827,0,56900000
0,1,0,3500000,11900000,12,686,0,21800000
1,0,1,9900000,34100000,14,371,1,67000000
5,0,0,700000,1900000,4,784,0,4200000
1,0,1,2100000,7300000,16,826,0,14200000
2,1,0,3200000,10500000,12,502,1,20300000
0,0,0,2900000,7800000,8,367,1,15700000
0,1,0,7000000,18300000,6,541,1,41800000
1,0,0,3700000,13600000,16,608,0,18800000
3,1,1,4500000,13100000,12,570,0,28400000
3,0,0,200000,800000,18,752,0,900000
5,1,1,5600000,20500000,8,873,0,42200000
5,0,0,5400000,18600000,2,538,0,33200000
4,1,0,300000,1000000,10,819,0,2100000
1,0,1,7500000,29800000,18,770,0,43300000
5,1,1,2500000,9600000,6,345,1,13200000
4,0,1,3100000,8100000,12,730,0,24300000
1,0,1,7600000,19300000,20,835,0,38300000
3,1,1,500000,1700000,2,811,0,2600000
2,1,0,2700000,5900000,14,662,0,15900000
2,1,1,3500000,13300000,4,420,0,18400000
5,1,0,3700000,11700000,4,413,0,28600000
2,1,1,5600000,20000000,10,367,1,43800000
5,1,1,4800000,16400000,14,390,1,24300000
4,1,1,5200000,12200000,2,602,0,39300000
3,0,0,2900000,11500000,16,843,0,19900000
1,0,0,2700000,6800000,20,713,0,11800000
3,0,0,5000000,16200000,8,591,0,24300000
2,1,1,2700000,9400000,14,701,0,15600000
4,1,1,2800000,10000000,12,655,0,20300000
3,1,1,7300000,20000000,18,720,0,58200000
0,0,1,5900000,15100000,10,794,0,30600000
0,0,0,8100000,21300000,2,392,1,63300000
3,0,1,1900000,7100000,6,583,0,11700000
5,0,0,1800000,6800000,18,457,1,8500000
0,1,1,7600000,17800000,14,570,0,58700000
1,0,0,9100000,30100000,14,890,0,70200000
2,1,1,5300000,12300000,14,472,1,35300000
2,1,0,3700000,10900000,12,788,0,17200000
0,1,0,9500000,35300000,6,605,0,60800000
3,0,0,8300000,30500000,10,473,1,57800000
5,0,0,6400000,21500000,16,728,0,32500000
5,0,1,5300000,17800000,16,505,1,36400000
0,0,1,5600000,19300000,6,407,1,29600000
1,0,1,900000,1700000,18,464,1,3900000
0,0,1,2400000,7200000,20,514,1,14700000
1,0,0,9500000,23000000,10,627,0,70800000
2,1,1,7400000,14900000,20,627,0,55300000
4,1,1,1500000,3200000,10,858,0,7900000
3,0,1,8800000,30200000,8,607,0,53700000
5,1,1,4900000,14300000,4,663,0,39700000
1,1,1,8100000,26900000,6,522,1,48000000
2,1,1,2300000,9100000,20,610,0,15500000
5,1,1,3000000,6600000,16,462,1,21700000
2,1,1,3900000,9300000,8,591,0,26500000
4,0,1,1700000,6500000,20,636,0,11100000
0,1,1,2100000,4900000,10,359,1,8900000
4,0,1,9700000,25000000,4,542,1,64500000
5,1,1,3500000,11800000,4,642,0,20700000
5,1,1,1500000,5500000,4,414,0,6300000
3,1,1,8800000,26200000,20,865,0,69300000
3,0,0,900000,3100000,10,369,1,3700000
0,0,1,3500000,10800000,14,838,0,27100000
5,1,0,5500000,21200000,4,582,0,40600000
5,1,1,9800000,23200000,10,416,1,58400000
5,0,0,2100000,5500000,20,705,0,12600000
0,0,0,1800000,5700000,18,306,1,8500000
5,0,1,5800000,13000000,8,851,0,37200000
5,0,0,6700000,17200000,18,613,0,48200000
3,0,0,4300000,16300000,10,366,1,31400000
1,0,0,1200000,2800000,12,431,1,5100000
5,1,1,9700000,25900000,2,754,0,54200000
5,0,1,5400000,11200000,10,447,1,35600000
1,1,1,5300000,14100000,14,510,1,50400000
1,0,0,7300000,24200000,20,324,1,44000000
5,0,0,9500000,19200000,2,523,1,42700000
0,1,1,7200000,15600000,2,362,1,31800000
3,0,1,9000000,32900000,6,657,0,51700000
5,1,0,6500000,23300000,12,790,0,35300000
1,0,1,9500000,30500000,18,500,1,30600000
2,1,1,9900000,33200000,4,465,0,72700000
4,1,0,2900000,8700000,6,409,1,19600000
4,0,1,700000,1800000,20,626,0,2800000
5,1,0,4200000,13400000,16,545,1,34000000
3,1,0,4200000,11400000,10,654,0,31100000
0,1,0,7600000,26500000,6,515,1,47100000
2,0,1,7100000,18800000,12,838,0,27800000
1,1,1,4700000,16000000,14,406,1,26900000
0,0,1,9800000,23200000,10,573,0,65400000
0,0,1,9800000,38700000,2,611,0,56000000
0,1,0,5100000,13400000,16,649,0,28000000
0,1,1,3300000,7700000,12,775,0,21900000
3,0,0,4500000,12500000,12,469,1,29300000
0,0,1,3900000,12800000,18,587,0,27400000
3,0,1,3200000,9900000,10,316,1,27000000
2,0,0,3200000,10400000,10,556,0,29800000
2,1,0,9600000,31200000,12,578,0,52100000
2,1,1,8700000,18900000,2,554,0,35300000
2,1,1,1900000,6800000,6,892,0,12100000
2,1,1,2900000,10200000,10,315,1,16600000
0,1,0,6200000,12900000,10,695,0,32000000
0,1,0,5900000,20300000,4,806,0,25200000
4,1,1,3200000,12800000,8,638,0,18700000
1,1,1,1300000,5000000,4,610,0,9600000
2,1,1,1300000,3200000,4,810,0,11000000
1,0,0,8700000,33200000,4,866,0,69700000
3,1,0,6300000,23800000,10,760,0,41200000
3,0,0,4300000,11200000,6,556,0,34900000
3,1,1,6400000,23500000,12,684,0,60200000
5,1,1,7700000,25800000,18,578,0,50500000
2,1,0,6900000,23900000,12,814,0,47500000
0,1,0,4200000,14800000,20,510,1,29400000
4,1,0,3900000,9000000,2,674,0,31500000
0,0,1,2000000,4900000,14,570,0,12000000
1,1,0,500000,1700000,2,680,0,3600000
0,0,0,3500000,8800000,12,803,0,17500000
2,1,1,3100000,10700000,16,357,1,22600000
3,1,1,4900000,19000000,4,575,0,44300000
1,1,0,1000000,3600000,4,546,0,5600000
2,0,0,6700000,21400000,8,370,1,43700000
1,0,0,4100000,9400000,6,713,0,15200000
4,1,1,1600000,3800000,2,896,0,8400000
3,0,1,2400000,9200000,14,626,0,14400000
0,0,0,2200000,6400000,4,854,0,10300000
4,0,0,3200000,8400000,18,802,0,14200000
4,1,1,1600000,4400000,20,382,1,9100000
2,1,0,3900000,14900000,6,415,1,20600000
5,0,1,2000000,6300000,4,366,0,15700000
1,0,1,7600000,25400000,10,595,0,44200000
1,1,0,9800000,21300000,2,356,1,75600000
5,1,0,7900000,29900000,6,568,0,44300000
1,0,0,1600000,4000000,10,615,0,11800000
1,0,1,6400000,13900000,12,313,1,48400000
1,0,1,6400000,17900000,6,575,0,42600000
4,0,0,1600000,5500000,10,577,0,7100000
0,0,0,9200000,30700000,10,455,1,65000000
1,1,0,7800000,24900000,6,500,1,46300000
1,1,1,4000000,9400000,8,509,1,21400000
2,1,1,6100000,19400000,8,379,1,34500000
5,0,0,7100000,14500000,14,664,0,43100000
0,1,1,2500000,9900000,6,623,0,15800000
5,0,0,3200000,8700000,16,558,0,16000000
4,0,0,1700000,4300000,18,580,0,12200000
4,0,0,6300000,17600000,6,612,0,46000000
4,0,1,700000,2400000,14,705,0,2800000
4,0,1,1100000,2700000,18,301,1,9200000
1,1,1,8900000,32000000,16,711,0,32800000
3,0,0,300000,700000,20,735,0,2400000
1,1,0,2200000,5200000,14,682,0,11100000
3,1,0,3400000,13500000,10,348,1,24500000
0,0,1,7900000,23500000,20,750,0,57300000
3,1,1,5800000,18200000,16,835,0,29600000
0,0,1,9400000,20000000,6,389,1,52700000
2,0,0,4800000,18900000,4,866,0,36000000
3,1,0,7600000,26600000,4,689,0,38800000
0,1,0,5900000,17600000,16,645,0,48100000
1,0,1,4300000,10100000,2,797,0,29900000
5,0,0,6100000,17800000,6,849,0,37700000
5,0,0,5400000,19700000,20,423,1,39500000
1,1,1,5200000,11200000,2,370,1,43200000
5,1,0,8500000,31300000,12,378,1,73700000
4,1,0,900000,1900000,20,417,1,5500000
1,1,0,1400000,4100000,20,530,1,7200000
1,1,1,2400000,9300000,20,543,1,9900000
4,0,0,6300000,15000000,18,750,0,30400000
1,0,0,3100000,7600000,20,346,1,17800000
4,0,1,6900000,19000000,14,330,1,43600000
2,1,1,3000000,7400000,10,712,0,21500000
0,1,0,3100000,10100000,14,376,1,24900000
4,1,0,600000,1200000,14,338,1,3800000
4,1,1,4700000,13700000,14,600,0,43200000
1,0,0,2500000,6900000,20,495,1,17500000
0,0,0,9700000,30400000,4,300,0,81000000
4,1,1,7600000,20000000,18,691,0,48300000
1,0,0,8400000,24700000,8,519,1,52900000
3,0,1,3800000,15100000,20,540,1,23300000
3,1,1,3100000,11400000,16,562,0,17500000
2,1,0,5700000,21300000,10,323,1,34100000
1,0,1,5500000,19700000,10,312,1,40400000
1,1,1,200000,600000,2,511,0,1600000
3,1,1,3700000,13800000,10,621,0,22000000
2,1,1,1600000,4300000,20,512,1,12900000
4,0,0,3900000,11000000,2,786,0,22300000
3,1,1,700000,1600000,18,303,1,3700000
3,0,1,5800000,16700000,18,633,0,34900000
4,0,1,3800000,14000000,6,711,0,34400000
2,0,0,6400000,16900000,16,472,1,37900000
1,0,1,5500000,12100000,4,350,1,39600000
1,1,1,6800000,13700000,10,879,0,31900000
4,1,0,6700000,13400000,10,436,1,35500000
1,0,1,5300000,11500000,14,848,0,25300000
2,0,0,6600000,23200000,16,555,0,43000000
2,0,0,6600000,13100000,20,885,0,42000000
0,1,0,7600000,25200000,6,888,0,55600000
4,1,1,2500000,6100000,20,478,1,19400000
4,1,0,1100000,2500000,4,603,0,7700000
1,1,0,2300000,8200000,8,784,0,10700000
1,0,1,3300000,11700000,4,682,0,22900000
4,0,1,2600000,5900000,6,471,1,16100000
4,1,1,9300000,36700000,20,808,0,64800000
4,1,0,5300000,18500000,8,470,1,32000000
2,1,0,5400000,13800000,20,574,0,24700000
4,1,1,3500000,12000000,8,314,1,23100000
2,0,0,4200000,10200000,14,407,1,24900000
0,1,1,9200000,34900000,4,702,0,66800000
2,0,0,4300000,9800000,2,499,1,26600000
1,0,1,7500000,19900000,10,669,0,36000000
5,1,1,5400000,18800000,20,326,1,37800000
3,1,0,5500000,16200000,18,778,0,36800000
2,1,1,2100000,4500000,2,787,0,15700000
0,0,0,3700000,12300000,16,831,0,23800000
0,0,0,8800000,32900000,18,576,0,48200000
5,1,0,5800000,22800000,12,600,0,43500000
4,0,0,7900000,30600000,2,569,0,38500000
